Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA
426,Bernardo Silva\3eb22ec9,pt POR,FWMF,Manchester City,24,1994,34,23,2030,22.6,6,7,6,0,0,5,0,0.27,0.31,0.58,0.27,0.58,6.7,6.7,5.4,12.1
427,David Silva\e2716bd0,es ESP,MF,Manchester City,33,1986,27,22,1826,20.3,6,10,6,0,0,0,0,0.30,0.49,0.79,0.30,0.79,6.3,6.3,5.3,11.6
428,Jack Simpson\76fa5f80,eng ENG,DF,Bournemouth,22,1996,4,1,241,2.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
429,Moussa Sissoko\2acd49b9,fr FRA,MF,Tottenham,29,1989,29,28,2452,27.2,2,1,2,0,0,8,0,0.07,0.04,0.11,0.07,0.11,2.4,2.4,1.1,3.5
430,Oliver Skipp\6250083a,eng ENG,MFDF,Tottenham,18,2000,7,1,77,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
431,William Smallbone\5e105217,ie IRL,MF,Southampton,19,2000,9,4,393,4.4,0,2,0,0,0,0,0,0.00,0.46,0.46,0.00,0.46,0.3,0.3,0.3,0.6
432,Emile Smith Rowe\17695062,eng ENG,MF,Arsenal,19,2000,2,1,97,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
433,Adam Smith\20b104bc,eng ENG,DF,Bournemouth,28,1991,24,24,2055,22.8,0,1,0,0,0,7,0,0.00,0.04,0.04,0.00,0.04,0.6,0.6,1.0,1.5
434,Robert Snodgrass\9f4647e9,sct SCO,MFFW,West Ham,31,1987,24,17,1509,16.8,5,5,5,0,0,4,0,0.30,0.30,0.60,0.30,0.60,2.8,2.8,2.8,5.6
435,Cédric Soares\839c14e1,pt POR,DF,Arsenal,27,1991,5,3,249,2.8,1,0,1,0,0,0,0,0.36,0.00,0.36,0.36,0.36,0.0,0.0,0.0,0.1
436,Cédric Soares\839c14e1,pt POR,DF,Southampton,27,1991,16,16,1306,14.5,0,1,0,0,0,1,0,0.00,0.07,0.07,0.00,0.07,0.6,0.6,1.2,1.9
437,Dominic Solanke\e77dc3b2,eng ENG,FWMF,Bournemouth,21,1997,32,17,1651,18.3,3,1,3,0,0,1,0,0.16,0.05,0.22,0.16,0.22,3.7,3.7,0.9,4.6
438,Tomáš Souček\6613c819,cz CZE,MF,West Ham,24,1995,13,12,1040,11.6,3,0,3,0,0,0,0,0.26,0.00,0.26,0.26,0.26,2.1,2.1,0.5,2.6
439,Çağlar Söyüncü\21166ff4,tr TUR,DF,Leicester City,23,1996,34,34,3036,33.7,1,1,1,0,0,4,1,0.03,0.03,0.06,0.03,0.06,2.3,2.3,0.3,2.6
440,Dennis Srbeny\1fdec858,de GER,MFFW,Norwich City,25,1994,8,0,47,0.5,1,0,1,0,0,0,0,1.91,0.00,1.91,1.91,1.91,0.6,0.6,0.0,0.6
441,Jack Stacey\558807c0,eng ENG,DF,Bournemouth,23,1996,19,17,1549,17.2,0,2,0,0,0,2,0,0.00,0.12,0.12,0.00,0.12,0.3,0.3,2.2,2.5
442,Junior Stanislas\6992791d,eng ENG,MFDF,Bournemouth,29,1989,15,7,712,7.9,3,0,2,1,1,1,0,0.38,0.00,0.38,0.25,0.25,1.6,0.8,0.8,1.6
443,Jed Steer\a8a3d139,eng ENG,GK,Aston Villa,26,1992,1,1,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
444,Dale Stephens\653ee42d,eng ENG,MF,Brighton,30,1989,33,28,2530,28.1,0,1,0,0,0,8,0,0.00,0.04,0.04,0.00,0.04,0.5,0.5,1.1,1.6
445,Jack Stephens\6adbc307,eng ENG,DF,Southampton,25,1994,28,27,2451,27.2,1,3,1,0,0,4,1,0.04,0.11,0.15,0.04,0.15,0.7,0.7,1.3,2.0
446,Raheem Sterling\b400bde0,eng ENG,FW,Manchester City,24,1994,33,30,2651,29.5,20,1,20,0,2,5,0,0.68,0.03,0.71,0.68,0.71,17.0,15.1,7.0,22.1
447,Enda Stevens\17d4507a,ie IRL,DF,Sheffield Utd,29,1990,38,38,3345,37.2,2,4,2,0,0,7,0,0.05,0.11,0.16,0.05,0.16,1.2,1.2,4.7,5.9
448,Marco Stiepermann\b606638c,de GER,MF,Norwich City,28,1991,24,14,1180,13.1,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,1.5,1.5,0.5,2.1
449,John Stones\5eecec3d,eng ENG,DF,Manchester City,25,1994,16,12,1122,12.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.1,0.7
450,Isaac Success\f573a8bf,ng NGA,FWMF,Watford,23,1996,5,0,70,0.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2
451,Ki Sung-yueng\1d8c99b0,kr KOR,MF,Newcastle Utd,30,1989,3,1,137,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1
452,Andrew Surman\7d41b619,eng ENG,MF,Bournemouth,32,1986,5,2,235,2.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
453,Sam Surridge\b017b770,eng ENG,FWMF,Bournemouth,21,1998,4,0,27,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4
454,Japhet Tanganga\e9971f2d,eng ENG,DF,Tottenham,20,1999,6,6,525,5.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1
455,Matt Targett\e514ab62,eng ENG,DF,Aston Villa,23,1995,28,27,2291,25.5,1,2,1,0,0,4,0,0.04,0.08,0.12,0.04,0.12,0.5,0.5,2.7,3.2
456,James Tarkowski\15ea812b,eng ENG,DF,Burnley,26,1992,38,38,3420,38.0,2,2,2,0,0,10,0,0.05,0.05,0.11,0.05,0.11,2.4,2.4,2.2,4.6
457,Charlie Taylor\cc2d7ad5,eng ENG,DF,Burnley,25,1993,24,22,1945,21.6,0,1,0,0,0,3,0,0.00,0.05,0.05,0.00,0.05,0.0,0.0,1.3,1.3
458,Neil Taylor\c2f9d19f,wls WAL,DF,Aston Villa,30,1989,14,11,1091,12.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.5
459,Nathan Tella\f1e94cd6,eng ENG,FW,Southampton,20,1999,1,0,3,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1
460,Alexander Tettey\75566759,no NOR,MFDF,Norwich City,33,1986,30,28,2338,26.0,1,1,1,0,0,5,0,0.04,0.04,0.08,0.04,0.08,0.8,0.8,0.8,1.6
461,Jordan Thomas\b547f08c,eng ENG,FW,Norwich City,18,2001,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
462,Luke Thomas\fc027d02,eng ENG,DF,Leicester City,18,2001,3,3,267,3.0,0,1,0,0,0,0,0,0.00,0.34,0.34,0.00,0.34,0.0,0.0,0.9,0.9
463,Max Thompson\fa38722f,eng ENG,FW,Burnley,17,2002,1,0,3,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
